50 30 -20 0 BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBG0000BBBBBB0000BBB0000000000000000000000000000BGGGG00000000000000BBB0000000000000000000000000000BGGGG000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000BG000000000000000000000000B00000000000000000000000B0000000000000000000000000B00B00000000000000000000B0000000000000000000000000000B00000000000000000000B0000000000000000000000000B00BBBBBBBBBBBBBBBBBBBBBB0000000000000000000000000B00BBBBBBBBBBBBBBBBBBBBBB0000000000000000000000000000BBBBBBBBBBBBBBBBBBBBBB0000000000000000000000000B00BBBBBBBBBBBBBBBBBBBBBB0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000B00000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000000B
E: 6, X: -40, Y: 16, W: 8, H: 8
E: 6, X: -32, Y: 16, W: 8, H: 8
E: 6, X: -24, Y: 16, W: 8, H: 8
E: 6, X: -16, Y: 16, W: 8, H: 8
E: 6, X: 88, Y: 16, W: 8, H: 8
E: 6, X: 128, Y: 16, W: 8, H: 8
E: 6, X: 168, Y: 16, W: 8, H: 8
E: 13, X: 16, Y: 8, W: 48, H: 8
E: 13, X: 64, Y: 8, W: 56, H: 8
E: 13, X: 120, Y: 8, W: 56, H: 8
E: 7, X: 10, Y: 96, W: 8, H: 8
E: 11, X: -128, Y: 8, W: 40, H: 8
E: 11, X: -40, Y: 8, W: 32, H: 8
E: 14, X: 32, Y: 32, W: 16, H: 16
E: 14, X: -72, Y: 64, W: 16, H: 16
E: 14, X: -32, Y: 72, W: 24, H: 16
E: 14, X: -40, Y: 112, W: 24, H: 24
E: 14, X: 104, Y: 120, W: 16, H: 16
