E: 0, X0: 0.000000, Y0: 0.000000, X1: 1.000000, Y1: 1.000000, 
E: 1, X0: 0.000000, Y0: 0.000000, X1: 1.000000, Y1: 1.000000, 
E: 2, X0: 0.000000, Y0: 0.000000, X1: 1.000000, Y1: 1.000000, 
E: 3, X0: 0.250000, Y0: 0.125000, X1: 0.277778, Y1: 0.250000, 
E: 4, X0: 0.250000, Y0: 0.000000, X1: 0.277778, Y1: 0.125000, 
E: 5, X0: 0.222222, Y0: 0.125000, X1: 0.250000, Y1: 0.250000, 
E: 6, X0: 0.222222, Y0: 0.000000, X1: 0.250000, Y1: 0.125000, 
E: 7, X0: 0.305556, Y0: 0.250000, X1: 0.333333, Y1: 0.375000, 
E: 8, X0: 0.305556, Y0: 0.250000, X1: 0.333333, Y1: 0.375000, 
E: 9, X0: 0.305556, Y0: 0.250000, X1: 0.333333, Y1: 0.375000, 
E: 10, X0: 0.305556, Y0: 0.250000, X1: 0.333333, Y1: 0.375000, 
E: 11, X0: 0.305556, Y0: 0.250000, X1: 0.333333, Y1: 0.375000, 
E: 12, X0: 0.027778, Y0: 0.000000, X1: 0.055556, Y1: 0.125000, 
E: 13, X0: 0.027778, Y0: 0.000000, X1: 0.055556, Y1: 0.125000, 
E: 14, X0: 0.027778, Y0: 0.000000, X1: 0.055556, Y1: 0.125000, 
D: 0, X0: 0.000000, Y0: 0.250000, X1: 0.027778, Y1: 0.375000, 
D: 1, X0: 0.777778, Y0: 0.000000, X1: 0.888889, Y1: 0.500000, 
D: 2, X0: 0.777778, Y0: 0.125000, X1: 0.888889, Y1: 0.500000, 
D: 3, X0: 0.694444, Y0: 0.250000, X1: 0.722222, Y1: 0.500000, 
D: 4, X0: 0.722222, Y0: 0.250000, X1: 0.750000, Y1: 0.500000, 
D: 5, X0: 0.000000, Y0: 0.375000, X1: 0.027778, Y1: 0.500000, 
D: 6, X0: 0.055556, Y0: 0.375000, X1: 0.083333, Y1: 0.500000, 
D: 7, X0: 0.611111, Y0: 0.000000, X1: 0.666667, Y1: 0.250000, 
